applicant_id,year,month,avg_balance,min_balance,overdraft_days,emi_bounces,salary_credit_flag,vendor_credit_regularity
1,2024,1,736960.23,332058.12,1,0,1,0.63
1,2024,2,828124.6,338203.19,0,0,0,0.69
1,2024,3,667379.35,343680.88,0,0,0,0.79
1,2024,4,860183.72,420920.35,2,0,0,0.61
1,2024,5,573412.43,373358.32,1,0,1,0.84
1,2024,6,839575.16,540514.86,4,0,1,0.63
1,2024,7,539530.25,268431.02,2,0,1,0.69
1,2024,8,725486.68,356392.71,0,1,1,0.67
1,2024,9,712823.25,537614.48,1,0,1,0.85
1,2024,10,568511.57,313939.89,2,0,1,0.84
1,2024,11,817075.76,512362.21,0,0,0,0.94
1,2024,12,596344.21,385214.68,0,0,1,0.9
2,2024,1,569086.52,159752.27,10,1,1,0.6
2,2024,2,652523.98,99012.25,16,2,1,0.47
2,2024,3,897608.86,217128.77,13,0,1,0.24
2,2024,4,538176.82,-95167.91,7,1,1,0.33
2,2024,5,702621.07,-27938.12,1,1,0,0.45
2,2024,6,599810.45,90715.49,4,2,1,0.5
2,2024,7,799190.41,148219.22,1,3,1,0.65
2,2024,8,507374.96,20670.89,2,1,1,0.44
2,2024,9,510048.23,-11136.71,12,0,0,0.25
2,2024,10,809697.26,-54068.89,13,0,1,0.4
2,2024,11,508149.32,3164.83,16,1,1,0.64
2,2024,12,633745.84,-119623.54,4,1,1,0.27
3,2024,1,505364.09,327979.02,2,0,1,0.74
3,2024,2,657281.04,465239.79,0,0,1,0.89
3,2024,3,564764.2,413538.05,0,0,1,0.99
3,2024,4,612161.57,383047.87,0,0,0,0.86
3,2024,5,587997.79,255270.63,1,0,1,0.63
3,2024,6,806202.71,469548.46,4,0,1,0.69
3,2024,7,614957.66,481595.92,0,0,1,0.79
3,2024,8,617983.94,384537.04,2,0,0,0.89
3,2024,9,753772.41,465240.53,1,0,1,0.74
3,2024,10,801345.59,544730.8,0,1,0,0.83
3,2024,11,703765.2,320724.21,0,0,1,0.79
3,2024,12,557126.78,247504.81,2,0,1,0.96
4,2024,1,945519.8,545140.1,0,0,1,0.89
4,2024,2,1008941.64,544398.96,3,0,1,0.67
4,2024,3,1183221.46,873195.57,3,1,0,0.82
4,2024,4,1296582.39,554602.62,2,0,0,0.87
4,2024,5,1083266.55,818093.03,0,0,1,0.85
4,2024,6,1244158.05,660517.46,1,0,1,0.73
4,2024,7,1364565.66,1028883.52,0,1,0,0.61
4,2024,8,1140840.02,573127.37,1,0,1,0.65
4,2024,9,1222124.71,495138.89,2,0,1,0.77
4,2024,10,982268.83,407950.52,3,0,1,0.9
4,2024,11,1336505.58,892606.93,0,1,1,0.87
4,2024,12,959249.03,559010.67,1,0,1,0.92
5,2024,1,1191065.89,-153917.98,6,2,0,0.68
5,2024,2,1064406.12,250774.14,10,2,1,0.55
5,2024,3,919896.39,229906.03,6,2,1,0.41
5,2024,4,1026737.64,167811.68,17,2,1,0.35
5,2024,5,1262181.97,-91988.36,1,1,1,0.34
5,2024,6,1328691.88,-6952.53,5,1,1,0.42
5,2024,7,953081.67,-176021.02,12,0,1,0.47
5,2024,8,1165055.65,88730.08,8,0,1,0.25
5,2024,9,663207.87,2393.12,16,0,1,0.27
5,2024,10,1240211.31,-142651.34,8,1,0,0.2
5,2024,11,663921.28,-13721.66,14,1,0,0.36
5,2024,12,1067306.12,216691.77,7,1,1,0.51
6,2024,1,1021054.68,458318.38,0,0,1,0.93
6,2024,2,988908.19,670999.58,4,0,1,0.65
6,2024,3,709148.02,426400.59,0,0,1,0.82
6,2024,4,962155.89,475309.49,2,0,1,0.97
6,2024,5,1054617.53,550958.57,1,0,0,1.0
6,2024,6,1063022.67,509603.41,3,0,1,0.75
6,2024,7,1082072.22,768831.14,0,1,1,0.93
6,2024,8,1047728.57,613133.63,0,0,1,0.88
6,2024,9,705870.19,305629.38,3,0,1,0.78
6,2024,10,790892.09,396941.49,1,1,1,0.99
6,2024,11,1031680.9,415558.21,2,0,1,0.9
6,2024,12,874288.96,629233.7,0,0,1,0.94
7,2024,1,2341725.92,1142935.81,1,0,1,0.98
7,2024,2,1712269.12,1185463.77,2,0,0,0.84
7,2024,3,2162637.12,1352539.97,0,0,1,0.78
7,2024,4,2333503.63,1015786.56,4,0,1,0.87
7,2024,5,2166277.89,1060176.12,2,0,1,0.88
7,2024,6,2323574.77,1340379.12,1,0,1,0.7
7,2024,7,1525002.3,847324.59,3,0,1,0.82
7,2024,8,2320334.54,1457578.6,4,0,0,0.96
7,2024,9,2239207.77,1486204.79,2,0,0,0.99
7,2024,10,1627696.33,1112901.5,1,0,1,0.84
7,2024,11,1910150.8,972109.82,0,1,1,0.77
7,2024,12,1904340.36,1201842.23,3,0,1,0.81
8,2024,1,621598.22,318448.07,2,0,1,0.96
8,2024,2,574705.13,361430.9,4,0,1,0.9
8,2024,3,603093.18,271788.96,1,0,1,0.64
8,2024,4,491705.9,206248.72,0,0,1,0.91
8,2024,5,561447.05,392601.57,2,0,1,0.95
8,2024,6,430447.32,235109.49,0,0,1,0.86
8,2024,7,520842.72,315115.99,0,0,1,0.64
8,2024,8,452473.14,285126.92,2,0,1,0.76
8,2024,9,615646.14,248364.68,1,0,1,0.6
8,2024,10,546334.85,432744.82,2,0,1,0.94
8,2024,11,467845.36,238917.96,2,0,1,0.79
8,2024,12,608988.75,319038.7,5,0,1,0.64
9,2024,1,1130639.45,788651.47,0,0,1,0.65
9,2024,2,877570.94,432558.08,0,0,1,0.91
9,2024,3,795772.09,442767.33,1,0,1,0.97
9,2024,4,1014890.86,779275.09,0,0,1,0.68
9,2024,5,1036744.16,709397.77,3,0,0,0.83
9,2024,6,1072766.9,674685.28,0,0,1,0.77
9,2024,7,981201.79,479991.49,0,0,1,0.87
9,2024,8,1116219.42,478654.25,0,0,1,0.79
9,2024,9,1206366.63,809322.66,2,0,1,0.8
9,2024,10,1208739.41,798809.82,0,0,1,0.64
9,2024,11,1190684.7,521005.25,0,0,1,0.97
9,2024,12,1051137.91,690353.16,4,0,1,0.6
10,2024,1,415232.81,198875.13,0,0,1,0.88
10,2024,2,594655.49,335100.31,1,1,1,0.84
10,2024,3,459025.59,324224.01,2,0,1,0.89
10,2024,4,608384.55,469599.05,2,0,1,0.87
10,2024,5,488843.99,256850.75,1,0,1,0.87
10,2024,6,527899.3,244074.28,1,0,0,0.84
10,2024,7,410328.39,208092.02,2,0,1,0.79
10,2024,8,458243.99,189416.04,0,0,1,0.7
10,2024,9,544947.27,433057.51,2,0,1,0.62
10,2024,10,477557.92,280854.39,3,1,1,0.63
10,2024,11,602450.92,432069.83,2,0,1,0.83
10,2024,12,406338.56,188560.18,1,0,1,0.82
11,2024,1,1499831.2,886465.69,0,1,1,0.89
11,2024,2,1291828.93,742853.03,0,0,1,0.76
11,2024,3,1174049.59,929107.41,3,0,1,0.86
11,2024,4,1318505.37,683534.08,0,0,1,0.77
11,2024,5,1076701.63,541223.41,1,0,1,0.75
11,2024,6,1297224.17,584305.7,2,0,1,0.76
11,2024,7,1409134.53,838315.87,0,0,1,0.82
11,2024,8,1606347.59,791663.87,0,0,1,0.65
11,2024,9,1460699.54,935201.79,1,0,1,0.71
11,2024,10,1422439.99,964005.18,0,1,1,0.93
11,2024,11,1517160.35,1104260.39,0,0,1,0.66
11,2024,12,1451470.17,687266.31,1,0,0,0.87
12,2024,1,1114114.08,456057.6,2,0,1,0.64
12,2024,2,1290193.11,988808.11,2,1,1,0.61
12,2024,3,1310265.22,614589.57,0,0,1,0.62
12,2024,4,1098114.03,453813.02,0,0,1,0.77
12,2024,5,986059.84,466335.91,2,0,1,0.63
12,2024,6,1354374.05,984845.33,3,0,1,0.84
12,2024,7,1346163.19,623301.18,1,0,1,0.97
12,2024,8,984892.15,728859.92,0,0,1,0.69
12,2024,9,1449117.8,604064.02,0,0,1,0.62
12,2024,10,1214042.07,802417.59,1,0,1,0.78
12,2024,11,951342.72,489398.06,2,0,1,0.82
12,2024,12,1431573.02,1024597.41,2,0,1,0.96
13,2024,1,150526.93,99963.96,2,0,1,0.93
13,2024,2,143711.79,114787.14,0,1,1,0.77
13,2024,3,161854.82,91671.81,3,1,1,0.77
13,2024,4,200327.06,101826.38,0,0,1,0.76
13,2024,5,196215.4,80012.91,2,0,1,0.77
13,2024,6,150257.51,97825.28,0,0,1,0.97
13,2024,7,176395.52,102524.5,0,0,1,0.79
13,2024,8,214490.56,108177.99,2,0,1,0.78
13,2024,9,160267.06,84497.95,1,0,1,0.79
13,2024,10,174079.94,79539.16,1,1,1,0.85
13,2024,11,215786.29,133421.17,1,0,1,0.66
13,2024,12,148605.65,106796.87,0,0,1,0.66
14,2024,1,1711705.03,860753.13,5,0,0,0.78
14,2024,2,1520474.89,1000760.62,3,0,0,0.98
14,2024,3,1683620.34,1038961.26,2,0,1,0.6
14,2024,4,1862689.21,1044163.44,1,0,1,0.72
14,2024,5,1771446.24,1159218.42,3,0,1,0.66
14,2024,6,1252023.26,588050.38,2,0,1,0.9
14,2024,7,1424766.12,1130114.0,1,0,1,0.87
14,2024,8,1737798.72,754024.48,0,0,1,0.84
14,2024,9,1352638.28,551725.22,0,0,1,0.78
14,2024,10,1163356.27,704731.64,5,0,1,0.89
14,2024,11,1237173.05,579269.18,1,0,1,0.79
14,2024,12,1202328.74,878666.76,0,0,1,0.62
15,2024,1,866206.97,499848.05,4,0,1,0.75
15,2024,2,831383.24,360234.2,1,0,1,0.62
15,2024,3,1109160.07,696840.87,1,1,1,0.6
15,2024,4,749049.0,465988.58,0,1,1,0.74
15,2024,5,723554.37,390145.02,1,1,1,0.72
15,2024,6,1110879.9,546394.51,1,0,0,0.87
15,2024,7,1136987.86,533087.5,1,1,1,0.96
15,2024,8,1049531.96,618539.99,2,0,1,0.86
15,2024,9,1080062.16,576218.66,0,0,1,0.69
15,2024,10,1083123.33,861197.47,1,0,1,0.9
15,2024,11,854598.31,472961.32,1,0,1,0.87
15,2024,12,996142.61,464506.68,2,0,1,0.71
16,2024,1,244837.73,126504.79,2,0,1,0.98
16,2024,2,228849.44,173749.03,1,0,1,0.68
16,2024,3,299102.04,147130.62,1,0,1,0.78
16,2024,4,316533.42,224288.79,1,0,1,0.87
16,2024,5,316801.58,240833.78,4,0,0,0.91
16,2024,6,262724.28,185674.79,0,0,1,0.92
16,2024,7,222565.0,121357.58,1,0,1,0.72
16,2024,8,226946.79,115549.52,1,0,1,0.84
16,2024,9,327067.87,174969.43,0,0,1,0.76
16,2024,10,264343.7,132752.54,1,1,1,0.73
16,2024,11,275326.45,130246.74,3,0,1,0.75
16,2024,12,275953.99,175635.05,0,0,0,0.64
17,2024,1,1608924.7,882942.36,0,1,0,0.88
17,2024,2,1405617.68,800803.38,0,0,1,0.8
17,2024,3,1343493.86,656899.98,0,0,1,0.67
17,2024,4,1406800.3,844125.25,1,0,1,0.68
17,2024,5,1604248.62,1059339.52,1,0,1,0.88
17,2024,6,1649634.92,1243659.6,3,1,1,0.66
17,2024,7,1360734.67,1071064.55,0,0,1,0.8
17,2024,8,1714101.85,888937.82,2,1,1,0.93
17,2024,9,1737041.19,1031295.03,1,0,1,0.92
17,2024,10,1217220.08,518164.61,2,0,1,0.9
17,2024,11,1297262.01,897105.41,2,0,1,0.71
17,2024,12,1240711.81,619316.99,1,1,0,0.78
18,2024,1,1661508.88,1320345.71,0,0,0,0.95
18,2024,2,1498297.48,898401.04,1,0,1,0.81
18,2024,3,1269728.74,930548.52,1,0,1,0.67
18,2024,4,1476344.62,1133527.29,0,0,1,0.81
