applicant_id,year,month,turnover_declared,filing_date,due_date,filing_delay_days,tax_paid
1,2024,1,430068.0,2024-02-25,2024-02-20,5,40588.53
1,2024,2,418970.22,2024-03-24,2024-03-22,2,54499.28
1,2024,3,324371.35,2024-04-26,2024-04-20,6,23624.54
1,2024,4,344465.72,2024-05-31,2024-05-21,10,32356.28
1,2024,5,366117.15,2024-06-21,2024-06-20,1,61910.85
1,2024,6,363014.31,2024-07-22,2024-07-21,1,48620.24
1,2024,7,316711.52,2024-08-30,2024-08-20,10,41658.99
1,2024,8,339383.01,2024-09-26,2024-09-20,6,40660.05
1,2024,9,274564.76,2024-10-21,2024-10-21,0,41711.49
1,2024,10,266966.41,2024-11-25,2024-11-20,5,39120.19
1,2024,11,285288.1,2024-12-21,2024-12-21,0,25366.3
1,2024,12,260909.86,2025-01-20,2025-01-20,0,23746.81
2,2024,1,832800.87,2024-02-24,2024-02-20,4,115854.37
2,2024,2,958523.02,2024-03-28,2024-03-22,6,158581.72
2,2024,3,809132.28,2024-04-25,2024-04-20,5,142447.52
2,2024,4,759561.33,2024-05-21,2024-05-21,0,41056.2
2,2024,5,893082.44,2024-06-22,2024-06-20,2,117392.48
2,2024,6,823444.2,2024-07-25,2024-07-21,4,102294.51
2,2024,7,689909.64,2024-08-21,2024-08-20,1,87877.2
2,2024,8,754777.9,2024-09-24,2024-09-20,4,111480.87
2,2024,9,687025.73,2024-10-31,2024-10-21,10,62440.28
2,2024,10,527712.65,2024-11-21,2024-11-20,1,54778.18
2,2024,11,580282.97,2024-12-24,2024-12-21,3,46941.12
2,2024,12,539706.91,2025-01-24,2025-01-20,4,93690.14
3,2024,1,762668.16,2024-03-19,2024-02-20,28,49260.79
3,2024,2,913909.72,2024-03-26,2024-03-22,4,138103.41
3,2024,3,928115.8,2024-04-25,2024-04-20,5,99949.38
3,2024,4,753259.12,2024-06-17,2024-05-21,27,84927.11
3,2024,5,869314.95,2024-07-26,2024-06-20,36,64961.75
3,2024,6,1005281.21,2024-08-17,2024-07-21,27,145984.26
3,2024,7,905619.84,2024-09-12,2024-08-20,23,136584.97
3,2024,8,870582.74,2024-10-10,2024-09-20,20,142195.65
3,2024,9,1034967.69,2024-10-23,2024-10-21,2,177955.55
3,2024,10,982386.56,2024-12-04,2024-11-20,14,66068.67
3,2024,11,1061398.86,2025-01-08,2024-12-21,18,116454.45
3,2024,12,1020331.16,2025-03-01,2025-01-20,40,120301.98
4,2024,1,343088.99,2024-02-24,2024-02-20,4,47798.06
4,2024,2,300933.41,2024-03-27,2024-03-22,5,18453.2
4,2024,3,278813.25,2024-04-24,2024-04-20,4,15613.03
4,2024,4,272238.4,2024-05-22,2024-05-21,1,36934.03
4,2024,5,244924.75,2024-06-20,2024-06-20,0,30635.87
4,2024,6,234477.23,2024-07-27,2024-07-21,6,38917.97
4,2024,7,224678.4,2024-08-28,2024-08-20,8,16857.83
4,2024,8,211224.17,2024-09-27,2024-09-20,7,19324.79
4,2024,9,211545.89,2024-10-22,2024-10-21,1,13812.81
4,2024,10,258936.16,2024-11-21,2024-11-20,1,13460.38
4,2024,11,300661.59,2024-12-25,2024-12-21,4,23107.36
4,2024,12,248129.12,2025-01-27,2025-01-20,7,16972.62
5,2024,1,1434404.78,2024-02-22,2024-02-20,2,117373.41
5,2024,2,1373424.43,2024-04-01,2024-03-22,10,178166.35
5,2024,3,1485929.0,2024-04-30,2024-04-20,10,159996.21
5,2024,4,1409610.71,2024-05-28,2024-05-21,7,156742.54
5,2024,5,1797581.38,2024-06-23,2024-06-20,3,114632.66
5,2024,6,1525587.92,2024-07-22,2024-07-21,1,160858.82
5,2024,7,1557040.37,2024-08-23,2024-08-20,3,198516.07
5,2024,8,1851625.29,2024-09-26,2024-09-20,6,293857.88
5,2024,9,1907468.63,2024-10-22,2024-10-21,1,248201.71
5,2024,10,1680891.87,2024-11-24,2024-11-20,4,262668.7
5,2024,11,1974980.09,2024-12-31,2024-12-21,10,270993.21
5,2024,12,1959141.46,2025-01-20,2025-01-20,0,345942.55
6,2024,1,1104310.91,2024-02-24,2024-02-20,4,74136.13
6,2024,2,1254770.51,2024-03-26,2024-03-22,4,212758.36
6,2024,3,1204938.82,2024-04-23,2024-04-20,3,131610.58
6,2024,4,1284545.57,2024-05-22,2024-05-21,1,182826.89
6,2024,5,1195976.3,2024-06-24,2024-06-20,4,95821.92
6,2024,6,1160267.55,2024-07-21,2024-07-21,0,187896.65
6,2024,7,1316220.54,2024-08-21,2024-08-20,1,222009.56
6,2024,8,1279488.49,2024-09-21,2024-09-20,1,180343.78
6,2024,9,1349492.81,2024-10-23,2024-10-21,2,205853.29
6,2024,10,1470776.98,2024-11-25,2024-11-20,5,160207.03
6,2024,11,1149442.03,2025-01-02,2024-12-21,12,128500.11
6,2024,12,1263109.04,2025-01-23,2025-01-20,3,138893.26
7,2024,1,823300.18,2024-02-26,2024-02-20,6,105857.66
7,2024,2,682384.79,2024-03-23,2024-03-22,1,43250.36
7,2024,3,810684.26,2024-04-30,2024-04-20,10,124503.68
7,2024,4,755221.6,2024-05-25,2024-05-21,4,101523.45
7,2024,5,883851.0,2024-06-25,2024-06-20,5,105405.35
7,2024,6,854620.14,2024-08-03,2024-07-21,13,88664.66
7,2024,7,864588.17,2024-08-21,2024-08-20,1,104816.94
7,2024,8,981449.9,2024-09-20,2024-09-20,0,98043.06
7,2024,9,824053.74,2024-10-24,2024-10-21,3,128395.02
7,2024,10,876722.86,2024-11-20,2024-11-20,0,133227.52
7,2024,11,901784.8,2024-12-25,2024-12-21,4,137389.15
7,2024,12,936850.73,2025-01-23,2025-01-20,3,75603.91
8,2024,1,505264.02,2024-02-24,2024-02-20,4,86406.32
8,2024,2,630652.84,2024-03-28,2024-03-22,6,71428.96
