applicant_id,year,month,total_inflow,total_outflow,txn_count,unique_counterparties,inflow_volatility
1,2024,1,689371.89,518040.86,167,8,0.2129
1,2024,2,671650.93,463720.65,70,23,0.2506
1,2024,3,735196.67,627999.48,158,27,0.02
1,2024,4,712835.54,470546.12,92,30,0.045
1,2024,5,762467.29,663534.31,30,43,0.0002
1,2024,6,666705.16,453735.4,60,37,0.0168
1,2024,7,797013.23,525310.65,30,8,0.0192
1,2024,8,785404.95,493269.72,31,33,0.1729
1,2024,9,711208.12,616882.9,77,38,0.0647
1,2024,10,754092.51,571886.18,77,24,0.1488
1,2024,11,747685.65,639761.4,44,21,0.0218
1,2024,12,801992.75,642356.32,137,9,0.2322
2,2024,1,1146590.36,961085.3,96,40,0.0201
2,2024,2,1309779.07,818930.95,97,41,0.0325
2,2024,3,910308.1,820995.99,96,31,0.1122
2,2024,4,1151215.36,862853.07,115,27,0.22
2,2024,5,970316.11,848184.43,59,17,0.007
2,2024,6,1120125.75,698748.6,163,42,0.2262
2,2024,7,996212.51,806126.55,131,31,0.0699
2,2024,8,1144706.64,739789.94,175,24,0.195
2,2024,9,929332.37,628571.9,68,8,0.2954
2,2024,10,1083984.66,981257.25,184,4,0.0794
2,2024,11,968500.09,802168.84,142,8,0.1086
2,2024,12,1195731.89,801193.99,212,43,0.1959
3,2024,1,841744.58,687572.7,184,47,0.2574
3,2024,2,714697.83,604712.38,87,22,0.2217
3,2024,3,910733.22,637191.27,48,14,0.4048
3,2024,4,724269.55,667780.46,75,32,0.0768
3,2024,5,812359.45,637609.97,186,8,0.0047
3,2024,6,926250.1,769312.08,108,18,0.2625
3,2024,7,747763.58,501399.18,137,43,0.0948
3,2024,8,856278.2,531878.51,42,16,0.0765
3,2024,9,923282.52,674223.84,220,45,0.0585
3,2024,10,754821.57,691681.21,22,54,0.0284
3,2024,11,837496.21,700357.16,171,5,0.2823
3,2024,12,885230.86,715452.76,78,10,0.0302
4,2024,1,868821.69,637273.48,172,54,0.2043
4,2024,2,771982.49,692944.41,68,25,0.1936
4,2024,3,918182.25,735547.55,152,22,0.2181
4,2024,4,961540.24,707130.98,151,36,0.2415
4,2024,5,919208.91,533969.27,91,50,0.0918
4,2024,6,966754.5,810256.81,60,52,0.1856
4,2024,7,978228.73,801625.7,35,26,0.1681
4,2024,8,820756.68,606746.2,125,28,0.2405
4,2024,9,798753.57,548050.97,65,30,0.0099
4,2024,10,1311368.27,870329.31,137,21,0.1884
4,2024,11,1478163.48,943479.11,81,10,0.0276
4,2024,12,1629951.9,1245975.33,67,18,0.1482
5,2024,1,2088378.6,1332735.31,101,18,0.1116
5,2024,2,2320107.47,1646685.07,136,38,0.372
5,2024,3,1421109.04,1099493.92,58,39,0.1646
5,2024,4,1770202.13,1098340.73,211,9,0.1831
5,2024,5,2319856.73,2025207.14,232,26,0.3372
5,2024,6,1646302.23,1443014.61,196,42,0.4108
5,2024,7,1073721.11,960294.88,20,6,0.4611
5,2024,8,1555430.78,998475.11,69,35,0.421
5,2024,9,1175404.86,777586.09,117,11,0.2894
5,2024,10,820196.88,717765.94,56,6,0.3836
5,2024,11,1770042.3,1183366.45,209,14,0.2326
5,2024,12,1604544.83,953835.89,65,17,0.4636
6,2024,1,675090.35,637375.86,93,46,0.1009
6,2024,2,770885.77,565722.82,38,17,0.1279
6,2024,3,643460.05,432644.63,117,31,0.2499
6,2024,4,583318.28,398575.77,95,13,0.2808
6,2024,5,687106.48,537872.72,126,17,0.0984
6,2024,6,631613.3,404901.72,115,18,0.2296
6,2024,7,701827.03,624438.5,124,20,0.0028
6,2024,8,666779.56,630041.7,34,10,0.312
6,2024,9,639145.48,534123.93,148,12,0.1417
6,2024,10,648804.54,441027.08,105,39,0.0926
6,2024,11,643869.76,450271.96,70,49,0.1052
6,2024,12,638338.0,509336.31,109,14,0.0708
7,2024,1,1185637.52,812612.46,189,50,0.1485
7,2024,2,1187405.23,1005319.65,95,9,0.0353
7,2024,3,1347459.72,925699.16,165,27,0.2564
7,2024,4,1057293.83,768582.24,54,38,0.1632
7,2024,5,1099067.91,1011058.55,116,19,0.0056
7,2024,6,1193289.2,949471.9,48,34,0.1657
7,2024,7,1094950.54,716852.11,116,36,0.1277
7,2024,8,1100007.48,1006866.93,130,22,0.099
7,2024,9,1278991.97,1160702.8,178,10,0.1935
7,2024,10,1318807.21,816328.36,110,32,0.006
7,2024,11,1178916.8,760294.53,87,22,0.031
7,2024,12,1189635.63,1118567.12,193,53,0.2687
8,2024,1,873056.05,694412.48,257,36,0.13
8,2024,2,292264.36,212043.9,74,33,0.373
8,2024,3,673358.99,667282.88,109,14,0.5156
8,2024,4,649265.88,383424.79,43,19,0.3145
8,2024,5,931299.06,721268.98,117,21,0.2487
8,2024,6,720043.31,698649.82,230,56,0.1561
8,2024,7,725012.65,557938.15,234,43,0.347
8,2024,8,911835.15,610068.14,293,10,0.3115
8,2024,9,877281.99,551051.68,49,9,0.4307
8,2024,10,712010.27,445910.18,224,20,0.2863
8,2024,11,920005.79,773890.91,189,45,0.4559
8,2024,12,320541.27,284929.85,88,8,0.0464
9,2024,1,623048.64,468224.49,140,34,0.0793
9,2024,2,652386.23,531395.76,116,21,0.2379
9,2024,3,600830.73,497761.64,110,53,0.1253
9,2024,4,659183.24,423552.13,61,45,0.002
9,2024,5,767466.03,524901.55,49,8,0.1361
9,2024,6,647061.68,425711.78,169,11,0.1742
9,2024,7,725562.33,502009.53,131,21,0.1013
9,2024,8,753133.37,477011.82,98,25,0.1659
9,2024,9,726513.61,540418.72,173,15,0.1822
9,2024,10,745440.78,483819.5,72,21,0.0933
9,2024,11,605913.82,487382.86,39,29,0.0439
9,2024,12,589177.0,504569.49,151,5,0.2387
10,2024,1,672511.22,444738.83,100,22,0.6607
10,2024,2,547820.64,436270.64,100,38,0.3496
10,2024,3,493608.63,360868.53,72,56,0.3355
10,2024,4,580723.36,445895.52,222,18,0.1285
10,2024,5,584138.75,559896.81,225,41,0.6289
10,2024,6,335120.88,251192.85,130,20,0.2424
10,2024,7,772563.17,567909.13,31,13,0.2741
10,2024,8,404354.1,260265.03,51,40,0.3777
10,2024,9,494288.01,373265.91,103,38,0.5537
10,2024,10,1349126.92,1122507.14,61,33,0.1453
10,2024,11,1557220.93,1412958.73,160,18,0.0276
10,2024,12,691837.23,577516.71,68,22,0.3241
11,2024,1,1142065.5,1066117.85,48,11,0.0255
11,2024,2,1110960.85,814215.2,93,34,0.1539
11,2024,3,1207954.0,872691.34,162,41,0.2982
11,2024,4,934908.47,868753.74,19,19,0.2133
11,2024,5,1024930.56,776989.62,186,25,0.0621
11,2024,6,1104612.54,923242.88,105,21,0.2097
11,2024,7,1009344.15,783876.44,153,49,0.0672
11,2024,8,950512.52,712089.76,112,15,0.2503
11,2024,9,1134402.17,822407.11,75,10,0.1112
11,2024,10,1121264.14,759237.82,77,42,0.3332
11,2024,11,959541.0,662020.3,70,34,0.0744
11,2024,12,1137922.82,749256.82,39,39,0.132
12,2024,1,534573.7,512076.98,59,47,0.0802
12,2024,2,566173.67,350356.55,45,51,0.0816
12,2024,3,639034.85,491357.24,38,51,0.0718
12,2024,4,650786.07,455842.16,203,41,0.1149
12,2024,5,507351.5,330352.06,65,32,0.1105
12,2024,6,551694.37,433344.91,94,42,0.3685
12,2024,7,534944.8,451354.27,171,32,0.0757
12,2024,8,558589.49,352125.66,124,45,0.1161
12,2024,9,525393.75,312972.38,28,19,0.1929
12,2024,10,968560.36,743669.85,21,19,0.0768
12,2024,11,944613.26,788768.71,143,31,0.3874
12,2024,12,1180305.76,925528.08,59,46,0.1591
13,2024,1,631259.54,390098.55,52,20,0.1326
