max_depth,n_estimators,learning_rate,auc_mean,auc_std
3,100,0.05,0.8269895294132489,0.02372138782247751
3,100,0.1,0.8183017873699494,0.027950409252092547
3,200,0.05,0.8130093662449142,0.027409765568974977
3,200,0.1,0.8060653507080678,0.0282632128573773
3,300,0.05,0.8088459700939111,0.02940650672638577
3,300,0.1,0.7987339379056377,0.029435559431854583
4,100,0.05,0.8190201123686103,0.028506963769601313
4,100,0.1,0.8040727541864886,0.028643860658323198
4,200,0.05,0.8050384316444401,0.029460121240435365
4,200,0.1,0.7972892704597151,0.028087921825563942
4,300,0.05,0.7973951702597087,0.03034766987589628
4,300,0.1,0.7934960390878502,0.02801545077491879
5,100,0.05,0.8098541391152576,0.030906252926102534
5,100,0.1,0.7996520317604324,0.029749062173241275
5,200,0.05,0.8002468953641595,0.030854266377221322
5,200,0.1,0.7946266913205495,0.030401606132629797
5,300,0.05,0.7974768988691648,0.03201750901627394
5,300,0.1,0.7905526115581806,0.03153357844553653
